"station","lon","lat","alt","area","name","city","state","uf","basin","subbasin","river","class","Escala","RegistradorNivel","DescLiquida","Sedimentos","QualAgua","Pluviometro","RegistradorChuva","TanqueEvapo","Climatologica","Piezometria","Telemetrica"
10011900,-78.2964,-1.3986,1315,147,"VERDE AJ PASTAZA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10012000,-78.1767,-1.4283,1150,NA,"PASTAZA AJ ENCANTO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10012400,-78.9156,-0.4636,NA,NA,"RIO GUAGRAYACU","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012500,-78.3117,-0.8381,NA,NA,"PANO SECTOR CERRO QUILINDANA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012600,-77.9525,-1.3736,NA,NA,"TENIENTE HUGO ORTIZ","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012650,-77.8617,-1.4003,NA,NA,"DIEZ DE AGOSTO SECTOR AUGUSTO RIVADENEIRA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012700,-78.2461,-1.0753,NA,NA,"TALAG SECTOR EL PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012810,-77.8806,-1.0814,NA,NA,"TALAG SECTOR COMUNIDAD 6 DE MARZO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012920,-77.8161,-0.9972,NA,NA,"RIO PANO EN CIUDAD DEL TENA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012930,-77.815,-0.9933,NA,NA,"RIO PANO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012931,-77.815,-0.9933,NA,NA,"RIO PANO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012950,-77.8594,-0.5803,NA,NA,"RIO COSANGA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012955,-77.8158,-0.9925,NA,NA,"RIO TENA DJ RIO PANO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012956,-77.8178,-0.9169,NA,NA,"MISAHUALL AJ EN EL TENA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012957,-77.8153,-0.9917,NA,NA,"UNION DEL RIO TENA CON EL PANO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012958,-77.8158,-0.9925,NA,NA,"RIO TENA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012959,-77.8153,-0.9925,NA,NA,"TENA SECTOR MALECON","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10012980,-77.8656,-0.5803,NA,NA,"COSANGA SECTOR PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013000,-77.8639,-0.4917,1740,492,"COSANGA AJ QUIJOS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013100,-78.0589,-0.3617,NA,NA,"TERMAS DE PAPALLACTA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013120,-78.0589,-0.3928,NA,NA,"RIO PAPALACTA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013200,-77.8864,-0.4544,1770,866,"QUIJOS EN BAEZA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013300,-77.8308,-0.4094,1635,1530,"QUIJOS AJ BORJA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013380,-77.7917,-0.3214,NA,NA,"RIO OYACACHI EN PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013400,-77.775,-0.3028,1490,2510,"QUIJOS DJ OYACACHI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013500,-77.7839,-0.8389,800,185,"MISAHUALLI EN COTUNDO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013550,-77.8319,-0.035,NA,NA,"SAN FRANCISCO DE BORJA SECTOR MINAS DE SUMACO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013600,-77.9186,-1.0833,570,3128,"JATUNYACU DJ ILOCULLIN","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013650,-77.6411,-0.1528,NA,NA,"RIO MALO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013700,-77.2756,-0.6917,3590,87,"YANAHURCO DJ VALLE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013710,-77.3319,-0.0444,NA,NA,"RIO LUMBAQUI EN PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013720,-77.3242,-0.0567,NA,NA,"RIO AGUARICO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013800,-77.0067,-0.3428,290,5300,"COCA EN SAN SEBASTIAN","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10013810,-77.0067,-0.3422,NA,NA,"SAN SEBASTIAN DEL COCA SECTOR CANON DE LOS MONOS)","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013850,-77.7906,-0.7817,NA,NA,"RIO JONDACHI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10013900,-77.0294,-0.5375,NA,NA,"NAPO AJ PAYAMINO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014000,-76.9808,-0.4731,262,12200,"FRANCISCO DE ORELLANA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10014005,-77.7503,-0.9472,NA,NA,"SAN PABLO DE USHPAYACU SECTOR COM. SANTO DOMINGO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014010,-77.6992,-0.9922,NA,NA,"SECTOR PUENTE EL SALADO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014100,-77.0081,-0.4428,NA,NA,"PAYAMINO AJ NAPO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014110,-77.0061,-0.4425,NA,NA,"RIO PAYAMINO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014120,-77.6669,-1.0367,NA,NA,"PUERTO MISAHUALLI PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014130,-77.6661,-1.0356,NA,NA,"NAPO UNION MISAHUALLI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014133,-77.6664,-1.0353,NA,NA,"RIO NAPO EN PUERTO MISAHUALLI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014150,-77.3111,-0.6942,NA,NA,"RIO SUNO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014230,-76.9575,-0.3231,NA,NA,"RIO YANAYACU 3","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014250,-76.8717,-0.3242,NA,NA,"RIO DE LA PARKE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014300,-76.8589,-0.3028,NA,NA,"RIO SACHA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014350,-76.86,-0.3036,NA,NA,"RIO SACHA EN PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014400,-76.8789,-0.065,NA,NA,"RIO EL ENO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014500,-76.8331,-0.1883,NA,NA,"JIVINO VERDE SALIDA DEL PUEBLO JIVINIO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10014600,-76.6114,-0.3528,NA,NA,"LIMONCOCHA SECTOR SHUSHUFINDI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10015000,-76.9753,-0.4736,298,12200,"PUERTO FRANCISCO DE ORELLANA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10017000,-75.3961,-0.9167,189,27300,"NUEVO ROCAFUERTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,1,0,0,0,0,0,0
10017100,-77.6494,0.3575,NA,NA,"LA SOFIA (PUENTE)","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017200,-77.4769,0.2561,NA,NA,"ROSA FLORIDA SECTOR EL PARAISO (PUENTE)","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017250,-77.5686,8e-04,NA,NA,"PACAYACU SECTOR SHUARA CINCO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017280,-77.5514,0.0603,NA,NA,"PACAYACU SECTOR PUENTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017300,-77.25,0.0706,NA,NA,"EL DORADO DE CASCALES SECTOR PUENTE COLGANTE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017400,-77.0011,0.0606,NA,NA,"SANTA CECILIA SECTOR BATALLON SELVA 56 TUNGURAHUA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10017500,-76.8617,0.1014,NA,NA,"NUEVA LOJA SECTOR LA PISTA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018000,-76.8083,0.0439,299,4600,"NUEVA LOJA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10018100,-76.7817,0.0606,NA,NA,"NUEVA LOJA SECTOR LAS GABARRAS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018200,-76.6444,-0.0056,NA,NA,"PACAYACU SECTOR BELLAVISTA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018300,-76.3156,-0.03,NA,NA,"CUYABENO SECTOR RESERVA DE CUYABENO (PUENTE)","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018400,-78.1481,-0.3711,NA,NA,"PAPALLACTA SECTOR VIA ANTIGUA A PAPALLACTA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018500,-76.8067,0.1436,NA,NA,"GENERAL FARFAN SECTOR NUEVA MONTEPA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018600,-76.5183,0.2442,NA,NA,"PACAYACU SECTOR PLAYA ORIENTAL","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018700,-76.4064,0.2708,NA,NA,"SANTA ELENA SECTOR EL CONEJO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018750,-76.105,0.1317,NA,NA,"PALMA ROJA SECTOR TACE","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018780,-75.8978,0.1008,NA,NA,"PUERTO EL CARMEN DEL PUTUMAYO SECTOR MANSAYA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018800,-76.2636,0.4114,NA,NA,"SANTA ELENA SECTOR EL PALMAR PUENTE PEATONAL","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10018900,-75.8128,0.0514,NA,NA,"PUERTO EL CARMEN DEL PUTUMAYO SECTOR AGUAS BLANCAS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",0,0,0,0,1,0,0,0,0,0,0
10020000,-75.8167,-11.8,3350,NA,"PTE. STUART (ELECTROP)","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10028000,-72.0758,-14.4164,3660,1640,"PUENTE COLCA - SANTO TOMAS","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10030000,-72.5736,-13.5597,2345,26700,"PUENTE CUNYAC","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10032000,-73.8167,-13.45,2200,18800,"PUENTE PAMPAS","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10033000,-71.8411,-13.4275,2971,6900,"PISAC","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10034000,-71.595,-13.3144,3042,2440,"PAUCARTAMBO","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10035000,-71.7206,-13.1069,2518,2980,"CHACLLABAMBA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10038000,-76.0717,-6.8742,NA,18.9,"BALSAS","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10038100,-75.2417,-12.0478,3220,10700,"PUENTE BRENA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10038300,-75.2833,-12.0542,3240,1700,"RIO CUNAS","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10038600,-75.1583,-12.0028,3510,170,"SHULLCAS","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10039000,-74.8306,-10.9492,660,12600,"PERENE","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10040000,-76.9878,-9.2919,691,2240,"TINGO MARIA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO HUALLAGUA","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10041000,-76.6833,-7.4333,390,30600,"CAMPANILLA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO HUALLAGUA","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10042000,-76.5078,-8.1844,508,23100,"PUENTE TOCACHE","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO HUALLAGUA","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10042900,-76.5,-7.2667,290,5150,"REQUENA - BIAVO","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10043000,-76.3667,-6.8833,220,56400,"PICOTA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO HUALLAGUA","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10043200,-76.25,-6.7167,615,143,"DESAGUADERO LAGUNA SAUCE","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10043300,-76.6,-6.4333,300,8460,"SHANAO","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10043400,-76.3833,-6.4667,285,24.2,"CUMBAZA","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
10043500,-76.2503,-6.7167,618,143,"LAGUNA SAUCE","PERU","PERU","PU","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO SOLIMOES/AMAZONAS","Fluviometric",1,0,0,0,0,0,0,0,0,0,0
